Permit Type,Initiating Office,Issue Datw,Valuation,# of Residential Units,Zone,Latitude,Longitude
Bldg-New,VAN NUYS,4/8/2019,595000,1,R1-1,34.03818,-118.52669
Bldg-New,VAN NUYS,2/15/2017,1050000,1,RE15-1-H,34.12472,-118.32834
Bldg-New,METRO,1/28/2020,1311368,1,RE15-1,34.04849,-118.48812
Bldg-New,VAN NUYS,5/7/2018,523000,1,R1-1-RIO,34.15322,-118.42784
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,METRO,9/10/2020,220000,1,RD1.5-1,34.06641,-118.26243
Bldg-Alter/Repair,METRO,3/28/2017,4000,1,R1-1,34.09334,-118.38754
Bldg-New,SOUTH LA,10/18/2018,163881,1,R1-1XL-O-CUGU,33.7871,-118.24424
Bldg-New,WEST LA,1/28/2020,1000000,1,RE20-1-H-HCR,34.12323,-118.43244
Bldg-New,METRO,1/30/2020,250000,1,[Q]R1-1D,34.09459,-118.19982
Bldg-New,VAN NUYS,4/25/2018,252000,1,R1-1,34.20682,-118.51955
Bldg-New,METRO,1/3/2019,260000,1,R1-1,34.12153,-118.18105
Bldg-New,WEST LA,1/28/2020,340000,1,RD1.5-1,33.99612,-118.47109
Bldg-New,VAN NUYS,9/29/2015,125000,1,R1-1,34.29395,-118.46089
Bldg-Addition,VAN NUYS,1/27/2020,200000,1,R3-1-O,33.98673,-118.46582
Bldg-New,METRO,9/15/2017,200000,1,RD2-1VL,34.09733,-118.27464
Bldg-New,METRO,11/2/2017,225000,1,RD1.5-1,34.10716,-118.18371
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,METRO,11/2/2017,225000,1,RD1.5-1,34.10721,-118.18382
Bldg-New,VAN NUYS,4/17/2018,500000,1,R1-1-RIO,34.14771,-118.35612
Bldg-New,METRO,1/30/2020,450000,1,R1-1-CDO,34.12551,-118.22899
Bldg-New,VAN NUYS,12/2/2019,201000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,VAN NUYS,12/12/2019,289000,1,R1-1,33.98738,-118.42929
Bldg-New,METRO,1/29/2020,1919181,1,R1-1,34.03633,-118.52579
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,WEST LA,1/28/2020,330000,1,RD1.5-1,33.99612,-118.47109
Bldg-New,VAN NUYS,12/2/2019,203000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-Addition,METRO,4/17/2017,40000,1,RD1.5-1VL,34.07579,-118.26621
Bldg-Alter/Repair,VAN NUYS,9/23/2019,0,1,R1-1-HPOZ,34.12166,-118.17648
Bldg-New,VAN NUYS,12/2/2019,201000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,METRO,3/7/2018,210000,1,[Q]R1-1D,34.06576,-118.17553
Bldg-New,VAN NUYS,1/27/2020,290000,1,RE9-1,34.10033,-118.36771
Bldg-Alter/Repair,METRO,1/23/2019,30000,1,RD1.5-1-O-HPOZ,34.03383,-118.27647
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,WEST LA,6/26/2020,1700000,1,RE15-1-H-HCR,34.08445,-118.47315
Bldg-New,VAN NUYS,12/2/2019,203000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,VAN NUYS,6/24/2020,139000,1,[Q]R4-1VL,34.10554,-118.33227
Bldg-New,VAN NUYS,10/30/2018,797400,1,[T]RE-1,34.28363,-118.57961
Bldg-Addition,VAN NUYS,7/15/2020,23000,1,R2-1VL-RIO,34.10093,-118.24711
Bldg-New,VAN NUYS,12/2/2019,201000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,VAN NUYS,3/13/2019,203000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,WEST LA,3/19/2020,345000,1,RD1.5-1-CDO,34.1186,-118.24015
Bldg-New,WEST LA,7/5/2017,2000000,1,RE11-1,34.04982,-118.50417
Bldg-New,VAN NUYS,8/31/2017,1400000,1,RA-1,34.1808,-118.62922
Bldg-New,VAN NUYS,12/2/2019,201000,1,(T)(Q)RD3-1,34.19826,-118.63247
Bldg-New,VAN NUYS,6/23/2020,700000,1,R1-1,34.07291,-118.43395
Bldg-New,VAN NUYS,1/15/2019,287000,1,RS-1-K,34.29863,-118.46573
Bldg-New,VAN NUYS,12/10/2019,217000,1,C1-1VL,34.27428,-118.46813
Bldg-New,VAN NUYS,12/2/2019,203000,1,(T)(Q)RD3-1,34.19826,-118.63247
